site,site.name,latitude,longitude,winter1,winter2,d10082012,d11282012,d01032013,d01042013,d01052013,d01162013,d01172013,d01192013,d01202013,d01212013,d01222013,d01232013,d11262013,d11282013,d11292013,d01072014,d02062014,d02262014,d02272014,Winter1_avg,Winter2_avg
Original.Mine,Original Mine,46.01686,-112.53741,TRUE,TRUE,32.2916666666667,10.695652173913,,,,3.83333333333333,14.5833333333333,3.45833333333333,5.75,6.20833333333333,13.4583333333333,8.5,7.95652173913043,11.5,7,11.5416666666667,,13.7916666666667,18.4166666666667,5.57586996581562,5.15220893026758
Housing.Authority,Housing Authority,46.01042,-112.53083,TRUE,TRUE,,,,18.5,14.5416666666667,13.8333333333333,22.5416666666667,14,13.5833333333333,13.25,18,18.375,9.20833333333333,11.2916666666667,9.625,23.875,,19.5416666666667,25.5416666666667,5.29217474596035,5.31362288896874
High.School,High School,46.00986,-112.53423,TRUE,FALSE,28.7083333333333,27.375,,,,,,,,,,,,,,,,,,8.46817045504603,
Airport,Airport,45.94606,-112.49887,TRUE,TRUE,,7.17391304347826,4.125,6.33333333333333,5.41666666666667,5.66666666666667,5.83333333333333,7.20833333333333,5.29166666666667,7.25,5.95833333333333,8.75,3.83333333333333,4.875,3.75,10.4166666666667,,7.41666666666667,12.3333333333333,3.67198229744188,4.28965818853683
East.Junior.High,East Junior High,45.99867,-112.49761,TRUE,TRUE,26.8333333333333,21.0416666666667,20.3333333333333,27.5416666666667,27.625,24.1666666666667,37.7916666666667,33.9166666666667,32.0833333333333,39.4166666666667,38.6666666666667,25.5416666666667,,18.8333333333333,18.5833333333333,28.75,,22.7916666666667,23.8333333333333,9.50706093491267,7.75238340739286
Greeley.School,Greeley School,46.002594,-112.501235,TRUE,TRUE,30.5847308879167,30.0330291208333,30.6467033166667,39.6453943708333,32.237876015,33.7900166453333,49.2162672958333,47.231508775,49.649841958875,54.1286469516667,58.3342087625,33.1247059077273,34.9065642075,34.8892855875,29.7718386483333,34.6660357134783,30.934640875,32.5076767166667,31.6488450545455,12.5163588142194,11.5099063888475
Whittier.Elementary,Whittier Elementary,45.98836,-112.49624,TRUE,FALSE,,20.2916666666667,17.25,26.9583333333333,22.4166666666667,19.875,29.0833333333333,30.5833333333333,23.9583333333333,25.625,29.2916666666667,22.9583333333333,,,,,,,,9.70663781608648,
Whittier.Elementary,Whittier Elementary,45.988267,-112.493875,FALSE,TRUE,,,,,,,,,,,,,11.375,10,12.7083333333333,20.6666666666667,,15.5,16.9583333333333,,6.3269284242861
Health.Department,Health Department,45.99857,-112.53613,TRUE,TRUE,27.25,21.0416666666667,21.75,23.5416666666667,20.6666666666667,25.3333333333333,28.9583333333333,22.9583333333333,22.5416666666667,22.5416666666667,28.4583333333333,24.5833333333333,17.4166666666667,17.9583333333333,18.875,26,,21.5,24.9166666666667,8.30450967697969,7.50820962404633
Stodden.Park,Stodden Park,45.97972,-112.52422,TRUE,TRUE,26,,14.7083333333333,19.4166666666667,15.5416666666667,15.2916666666667,21.4583333333333,17.3333333333333,15,15.625,22.5416666666667,18.5833333333333,15.7916666666667,13.125,14.125,20.7916666666667,,18.1666666666667,16.625,6.3453557312253,6.56842980025139
Clark.Park,Clark Park,45.998322,-112.51321,FALSE,TRUE,,,,,,,,,,,,,26.375,26.4583333333333,27.9166666666667,26.25,,24.2083333333333,28.2083333333333,,9.23438139687219
MR.West,MR West,46.008172,-112.51395,FALSE,TRUE,,,,,,,,,,,,,20.0416666666667,20.875,23.0833333333333,29.2916666666667,,31.7916666666667,34.9166666666667,,8.77894704661823
MR.East,MR East,46.005447,-112.492715,FALSE,TRUE,,,,,,,,,,,,,,19.2916666666667,12.2083333333333,23.5,,18.4583333333333,20.0833333333333,,6.1280811159496
