"","Time","TimeMDT","TemperatureF","Dew_PointF","Humidity","Sea_Level_PressureIn","VisibilityMPH","Wind_Direction","Wind_SpeedMPH","Gust_SpeedMPH","PrecipitationIn","Events","Conditions","WindDirDegrees","DateUTC","TimeMST"
"1",2012-10-01 00:53:00,"12:53 AM",41,30,"65",30.31,10,"NNW","3.5","-","N/A",NA,"Clear",340,"2012-10-01 06:53:00",NA
"2",2012-10-01 01:53:00,"1:53 AM",39.9,28.9,"65",30.31,10,"SSW","4.6","-","N/A",NA,"Clear",210,"2012-10-01 07:53:00",NA
"3",2012-10-01 02:53:00,"2:53 AM",37,28,"70",30.32,10,"Calm","Calm","-","N/A",NA,"Clear",0,"2012-10-01 08:53:00",NA
"4",2012-10-01 03:53:00,"3:53 AM",35.1,28,"76",30.32,10,"SE","6.9","-","N/A",NA,"Clear",130,"2012-10-01 09:53:00",NA
"5",2012-10-01 04:53:00,"4:53 AM",35.1,27,"72",30.32,10,"Calm","Calm","-","N/A",NA,"Clear",0,"2012-10-01 10:53:00",NA
"6",2012-10-01 05:53:00,"5:53 AM",32,26.6,"80",30.38,10,"ESE","4.6","-","N/A",NA,"Clear",120,"2012-10-01 11:53:00",NA
"7",2012-10-01 06:53:00,"6:53 AM",32,26.1,"79",30.33,8,"SSE","5.8","-","N/A",NA,"Clear",160,"2012-10-01 12:53:00",NA
"8",2012-10-01 07:53:00,"7:53 AM",32,26.1,"79",30.35,6,"SE","4.6","-","N/A",NA,"Haze",130,"2012-10-01 13:53:00",NA
"9",2012-10-01 08:53:00,"8:53 AM",36,27,"70",30.33,5,"Calm","Calm","-","N/A",NA,"Haze",0,"2012-10-01 14:53:00",NA
"10",2012-10-01 09:53:00,"9:53 AM",44.1,30,"58",30.33,4,"Calm","Calm","-","N/A",NA,"Haze",0,"2012-10-01 15:53:00",NA
"11",2012-10-01 10:53:00,"10:53 AM",52,32,"47",30.3,7,"Calm","Calm","-","N/A",NA,"Clear",0,"2012-10-01 16:53:00",NA
"12",2012-10-01 11:53:00,"11:53 AM",62.1,30.9,"31",30.24,9,"North","4.6","-","N/A",NA,"Clear",10,"2012-10-01 17:53:00",NA
"13",2012-10-01 12:53:00,"12:53 PM",64,28,"26",30.21,10,"Variable","5.8","-","N/A",NA,"Clear",0,"2012-10-01 18:53:00",NA
"14",2012-10-01 13:53:00,"1:53 PM",69.1,28,"22",30.16,10,"NNW","10.4","-","N/A",NA,"Clear",330,"2012-10-01 19:53:00",NA
"15",2012-10-01 14:53:00,"2:53 PM",71.1,28,"20",30.13,10,"NW","9.2","-","N/A",NA,"Clear",320,"2012-10-01 20:53:00",NA
"16",2012-10-01 15:53:00,"3:53 PM",73.4,28.4,"19",30.18,10,"NNE","4.6","-","N/A",NA,"Clear",30,"2012-10-01 21:53:00",NA
"17",2012-10-01 16:53:00,"4:53 PM",73.9,28,"18",30.06,10,"Variable","4.6","-","N/A",NA,"Clear",0,"2012-10-01 22:53:00",NA
"18",2012-10-01 17:53:00,"5:53 PM",72,28,"20",30.07,10,"NW","9.2","-","N/A",NA,"Clear",310,"2012-10-01 23:53:00",NA
"19",2012-10-01 18:53:00,"6:53 PM",69.1,26.1,"20",30.05,10,"NW","4.6","-","N/A",NA,"Clear",310,"2012-10-02 00:53:00",NA
"20",2012-10-01 19:53:00,"7:53 PM",64.9,26.1,"23",30.06,10,"WNW","3.5","-","N/A",NA,"Clear",290,"2012-10-02 01:53:00",NA
"21",2012-10-01 20:53:00,"8:53 PM",62.1,26.1,"25",30.05,10,"SSE","3.5","-","N/A",NA,"Clear",160,"2012-10-02 02:53:00",NA
"22",2012-10-01 21:53:00,"9:53 PM",64.9,28,"25",30,10,"SW","10.4","-","N/A",NA,"Clear",220,"2012-10-02 03:53:00",NA
"23",2012-10-01 22:53:00,"10:53 PM",64,28,"26",29.97,10,"SW","5.8","-","N/A",NA,"Clear",230,"2012-10-02 04:53:00",NA
"24",2012-10-01 23:53:00,"11:53 PM",63,28.9,"28",29.92,10,"SW","6.9","-","N/A",NA,"Clear",230,"2012-10-02 05:53:00",NA
"25",2012-10-02 00:53:00,"12:53 AM",60.8,30.2,"31",30.04,10,"Variable","3.5","-","N/A",NA,"Clear",0,"2012-10-02 06:53:00",NA
"26",2012-10-02 01:53:00,"1:53 AM",62.1,30,"30",29.87,10,"WSW","10.4","16.1","N/A",NA,"Clear",250,"2012-10-02 07:53:00",NA
"27",2012-10-02 02:53:00,"2:53 AM",62.1,30,"30",29.86,10,"WSW","10.4","19.6","N/A",NA,"Clear",250,"2012-10-02 08:53:00",NA
"28",2012-10-02 03:53:00,"3:53 AM",59,30,"33",29.87,10,"NNW","4.6","-","N/A",NA,"Clear",340,"2012-10-02 09:53:00",NA
"29",2012-10-02 04:53:00,"4:53 AM",57,30,"36",29.87,10,"Calm","Calm","-","N/A",NA,"Clear",0,"2012-10-02 10:53:00",NA
"30",2012-10-02 05:53:00,"5:53 AM",53.6,30.2,"41",30.02,10,"Calm","Calm","-","N/A",NA,"Clear",0,"2012-10-02 11:53:00",NA
"31",2012-10-02 06:53:00,"6:53 AM",57,28.9,"34",29.86,10,"Variable","5.8","-","N/A",NA,"Clear",0,"2012-10-02 12:53:00",NA
"32",2012-10-02 07:53:00,"7:53 AM",55.9,30,"37",29.87,10,"NNE","5.8","-","N/A",NA,"Clear",20,"2012-10-02 13:53:00",NA
"33",2012-10-02 08:53:00,"8:53 AM",52,30.9,"45",29.89,10,"Calm","Calm","-","N/A",NA,"Clear",0,"2012-10-02 14:53:00",NA
"34",2012-10-02 09:53:00,"9:53 AM",61,30.9,"32",29.85,10,"West","11.5","17.3","N/A",NA,"Clear",260,"2012-10-02 15:53:00",NA
"35",2012-10-02 10:53:00,"10:53 AM",63,30,"29",29.83,8,"West","11.5","21.9","N/A",NA,"Clear",260,"2012-10-02 16:53:00",NA
"36",2012-10-02 11:53:00,"11:53 AM",64.9,30,"27",29.81,9,"West","15.0","27.6","N/A",NA,"Clear",270,"2012-10-02 17:53:00",NA
"37",2012-10-02 12:53:00,"12:53 PM",66.9,27,"22",29.8,8,"WNW","17.3","25.3","N/A",NA,"Partly Cloudy",290,"2012-10-02 18:53:00",NA
"38",2012-10-02 13:53:00,"1:53 PM",66.9,26.1,"21",29.77,10,"WSW","11.5","24.2","N/A",NA,"Partly Cloudy",250,"2012-10-02 19:53:00",NA
"39",2012-10-02 14:53:00,"2:53 PM",69.1,21,"16",29.74,10,"West","15.0","23.0","N/A",NA,"Clear",270,"2012-10-02 20:53:00",NA
"40",2012-10-02 15:53:00,"3:53 PM",69.1,16,"13",29.74,10,"WNW","20.7","28.8","N/A",NA,"Clear",300,"2012-10-02 21:53:00",NA
"41",2012-10-02 16:53:00,"4:53 PM",68,12.9,"12",29.74,10,"West","16.1","32.2","N/A",NA,"Clear",270,"2012-10-02 22:53:00",NA
"42",2012-10-02 17:53:00,"5:53 PM",66.9,16,"14",29.75,10,"West","15.0","23.0","N/A",NA,"Clear",280,"2012-10-02 23:53:00",NA
"43",2012-10-02 18:53:00,"6:53 PM",64,14,"14",29.75,10,"WNW","10.4","-","N/A",NA,"Clear",290,"2012-10-03 00:53:00",NA
"44",2012-10-02 19:53:00,"7:53 PM",59,19.9,"22",29.78,10,"NW","9.2","-","N/A",NA,"Clear",320,"2012-10-03 01:53:00",NA
"45",2012-10-02 20:53:00,"8:53 PM",57,18,"22",29.8,10,"WNW","6.9","-","N/A",NA,"Clear",300,"2012-10-03 02:53:00",NA
"46",2012-10-02 21:53:00,"9:53 PM",52,19.9,"28",29.81,10,"WNW","5.8","-","N/A",NA,"Clear",300,"2012-10-03 03:53:00",NA
"47",2012-10-02 22:53:00,"10:53 PM",50,21.9,"33",29.81,10,"WNW","6.9","-","N/A",NA,"Clear",300,"2012-10-03 04:53:00",NA
"48",2012-10-02 23:53:00,"11:53 PM",42.1,21,"43",29.83,10,"ESE","5.8","-","N/A",NA,"Clear",120,"2012-10-03 05:53:00",NA
"49",2012-10-03 00:53:00,"12:53 AM",39.9,19.9,"45",29.84,10,"SSE","3.5","-","N/A",NA,"Clear",150,"2012-10-03 06:53:00",NA
"50",2012-10-03 01:53:00,"1:53 AM",37.9,19.9,"48",29.86,10,"SSE","6.9","-","N/A",NA,"Clear",150,"2012-10-03 07:53:00",NA
"51",2012-10-03 02:53:00,"2:53 AM",36,21,"55",29.88,10,"Variable","3.5","-","N/A",NA,"Clear",0,"2012-10-03 08:53:00",NA
"52",2012-10-03 03:53:00,"3:53 AM",42.1,28.9,"60",29.89,10,"Calm","Calm","-","N/A",NA,"Mostly Cloudy",0,"2012-10-03 09:53:00",NA
"53",2012-10-03 04:30:00,"4:30 AM",39.2,28.4,"65",30.03,10,"NNE","18.4","25.3","N/A",NA,"Overcast",20,"2012-10-03 10:30:00",NA
"54",2012-10-03 04:53:00,"4:53 AM",37,26.1,"65",29.98,10,"NNE","18.4","32.2","N/A",NA,"Overcast",20,"2012-10-03 10:53:00",NA
"55",2012-10-03 05:31:00,"5:31 AM",35.6,26.6,"70",30.12,10,"NNW","11.5","23.0","N/A",NA,"Overcast",340,"2012-10-03 11:31:00",NA
"56",2012-10-03 05:38:00,"5:38 AM",35.6,24.8,"65",30.12,10,"NNW","15.0","23.0","N/A",NA,"Overcast",330,"2012-10-03 11:38:00",NA
"57",2012-10-03 05:53:00,"5:53 AM",35.1,25,"67",30.06,9,"NNW","12.7","20.7","0.00",NA,"Overcast",330,"2012-10-03 11:53:00",NA
"58",2012-10-03 06:20:00,"6:20 AM",35.6,24.8,"65",30.15,10,"NNW","9.2","18.4","N/A",NA,"Overcast",340,"2012-10-03 12:20:00",NA
"59",2012-10-03 06:53:00,"6:53 AM",34,26.1,"73",30.12,10,"NW","10.4","-","N/A",NA,"Overcast",310,"2012-10-03 12:53:00",NA
"60",2012-10-03 07:03:00,"7:03 AM",33.8,26.6,"75",30.18,10,"WNW","9.2","-","N/A",NA,"Overcast",300,"2012-10-03 13:03:00",NA
"61",2012-10-03 07:48:00,"7:48 AM",32,28.4,"87",30.21,10,"WNW","11.5","18.4","0.00",NA,"Overcast",290,"2012-10-03 13:48:00",NA
"62",2012-10-03 07:53:00,"7:53 AM",32,28,"85",30.19,10,"WNW","12.7","-","0.00",NA,"Overcast",290,"2012-10-03 13:53:00",NA
"63",2012-10-03 08:53:00,"8:53 AM",33.1,27,"78",30.24,10,"WNW","8.1","-","N/A",NA,"Overcast",290,"2012-10-03 14:53:00",NA
"64",2012-10-03 09:53:00,"9:53 AM",34,27,"75",30.3,9,"NW","8.1","-","N/A",NA,"Overcast",310,"2012-10-03 15:53:00",NA
"65",2012-10-03 10:13:00,"10:13 AM",35.6,24.8,"65",30.31,10,"North","9.2","-","N/A",NA,"Overcast",10,"2012-10-03 16:13:00",NA
"66",2012-10-03 10:53:00,"10:53 AM",37.9,23,"55",30.31,10,"North","12.7","-","N/A",NA,"Overcast",350,"2012-10-03 16:53:00",NA
"67",2012-10-03 11:53:00,"11:53 AM",39,21.9,"50",30.35,10,"NNE","8.1","19.6","N/A",NA,"Overcast",20,"2012-10-03 17:53:00",NA
"68",2012-10-03 12:53:00,"12:53 PM",39.9,21,"47",30.38,10,"North","10.4","-","N/A",NA,"Mostly Cloudy",350,"2012-10-03 18:53:00",NA
"69",2012-10-03 13:53:00,"1:53 PM",39.9,21.9,"49",30.4,10,"NNE","12.7","-","N/A",NA,"Overcast",20,"2012-10-03 19:53:00",NA
"70",2012-10-03 14:53:00,"2:53 PM",39,21.9,"50",30.41,10,"NNE","15.0","-","N/A",NA,"Overcast",20,"2012-10-03 20:53:00",NA
"71",2012-10-03 15:53:00,"3:53 PM",37.9,21.9,"53",30.41,10,"North","17.3","23.0","N/A",NA,"Overcast",10,"2012-10-03 21:53:00",NA
"72",2012-10-03 16:53:00,"4:53 PM",37.9,21.9,"53",30.43,10,"North","13.8","-","N/A",NA,"Overcast",10,"2012-10-03 22:53:00",NA
"73",2012-10-03 17:53:00,"5:53 PM",37,21,"52",30.45,10,"North","10.4","-","N/A",NA,"Overcast",10,"2012-10-03 23:53:00",NA
"74",2012-10-03 18:53:00,"6:53 PM",36,21.9,"57",30.46,10,"North","12.7","-","N/A",NA,"Overcast",10,"2012-10-04 00:53:00",NA
"75",2012-10-03 19:53:00,"7:53 PM",34,21.9,"61",30.47,10,"NNE","9.2","-","N/A",NA,"Mostly Cloudy",20,"2012-10-04 01:53:00",NA
"76",2012-10-03 20:53:00,"8:53 PM",33.1,21,"61",30.47,10,"NNE","5.8","-","N/A",NA,"Mostly Cloudy",30,"2012-10-04 02:53:00",NA
"77",2012-10-03 21:53:00,"9:53 PM",30.9,21.9,"69",30.47,10,"East","4.6","-","N/A",NA,"Overcast",90,"2012-10-04 03:53:00",NA
"78",2012-10-03 22:53:00,"10:53 PM",28.9,21.9,"75",30.46,10,"Calm","Calm","-","N/A",NA,"Partly Cloudy",0,"2012-10-04 04:53:00",NA
"79",2012-10-03 23:53:00,"11:53 PM",28,21,"75",30.45,10,"Calm","Calm","-","N/A",NA,"Clear",0,"2012-10-04 05:53:00",NA
"80",2012-10-04 00:53:00,"12:53 AM",25,19,"78",30.45,10,"Calm","Calm","-","N/A",NA,"Clear",0,"2012-10-04 06:53:00",NA
"81",2012-10-04 01:53:00,"1:53 AM",24.1,19,"81",30.44,10,"Calm","Calm","-","N/A",NA,"Clear",0,"2012-10-04 07:53:00",NA
"82",2012-10-04 02:53:00,"2:53 AM",21,16,"81",30.45,10,"Variable","3.5","-","N/A",NA,"Clear",0,"2012-10-04 08:53:00",NA
"83",2012-10-04 03:53:00,"3:53 AM",19,14,"81",30.44,10,"SE","3.5","-","N/A",NA,"Clear",140,"2012-10-04 09:53:00",NA
"84",2012-10-04 04:53:00,"4:53 AM",18,12.9,"81",30.43,10,"ESE","3.5","-","N/A",NA,"Partly Cloudy",110,"2012-10-04 10:53:00",NA
"85",2012-10-04 05:53:00,"5:53 AM",19,15.1,"85",30.42,10,"Calm","Calm","-","N/A",NA,"Clear",0,"2012-10-04 11:53:00",NA
"86",2012-10-04 06:53:00,"6:53 AM",19,14,"81",30.42,10,"Calm","Calm","-","N/A",NA,"Partly Cloudy",0,"2012-10-04 12:53:00",NA
